year,sex,age,labour_force,employed,unemployed,outside_labour_force
1991,male,15-19,36900,35700,1300,86000
1991,male,20-24,99400,96400,3000,21500
1991,male,25-29,134500,131000,3500,4300
1991,male,30-34,143300,140800,2500,1800
1991,male,35-39,131000,129100,1900,1200
1991,male,40-44,110200,108400,1900,1700
1991,male,45-49,64100,63100,1000,2300
1991,male,50-54,63100,61700,1400,5200
1991,male,55-59,38200,37800,400,15800
1991,male,60-64,21300,21000,300,24200
1991,male,65-69,8500,8500,-,20100
1991,male,70_and_over,5700,5700,100,37300
1991,female,15-19,30100,28200,1900,81800
1991,female,20-24,92100,89100,3000,23400
1991,female,25-29,100000,98200,1800,36300
1991,female,30-34,86100,85000,1100,57400
1991,female,35-39,70700,69400,1300,57000
1991,female,40-44,61600,60600,900,53000
1991,female,45-49,32900,32700,200,38400
1991,female,50-54,23000,22800,200,45000
1991,female,55-59,11200,11000,200,41900
1991,female,60-64,5500,5500,-,38600
1991,female,65-69,1900,1900,100,29100
1991,female,70_and_over,1700,1700,-,57300
1992,male,15-19,34100,32700,1400,85200
1992,male,20-24,98500,93500,4900,23100
1992,male,25-29,132600,127700,5000,4100
1992,male,30-34,147000,143400,3600,2000
1992,male,35-39,130300,127600,2700,2000
1992,male,40-44,113500,111100,2400,2000
1992,male,45-49,73700,71700,2000,3000
1992,male,50-54,63600,62200,1400,7700
1992,male,55-59,38800,38200,600,15900
1992,male,60-64,22500,22200,200,23400
1992,male,65-69,10700,10600,100,20600
1992,male,70_and_over,6500,6500,-,37500
1992,female,15-19,27800,25200,2700,82200
1992,female,20-24,91400,85200,6100,27900
1992,female,25-29,104100,101700,2400,34200
1992,female,30-34,90100,88300,1800,53500
1992,female,35-39,75100,74000,1100,59500
1992,female,40-44,63300,62700,600,53300
1992,female,45-49,37300,36900,400,41100
1992,female,50-54,26900,26500,400,46700
1992,female,55-59,12100,11900,100,41600
1992,female,60-64,5900,5800,100,41400
1992,female,65-69,2300,2300,-,29600
1992,female,70_and_over,1800,1800,-,57500
1993,male,15-19,27800,26700,1200,88600
1993,male,20-24,101100,96000,5100,24900
1993,male,25-29,126100,121000,5100,5300
1993,male,30-34,137400,134300,3100,2100
1993,male,35-39,136800,133900,2900,2200
1993,male,40-44,123500,121600,1800,2300
1993,male,45-49,85800,84300,1500,2900
1993,male,50-54,63700,62400,1300,6900
1993,male,55-59,39500,38800,700,15600
1993,male,60-64,23800,23500,400,23400
1993,male,65-69,10700,10500,200,21600
1993,male,70_and_over,7300,7200,100,42000
1993,female,15-19,25700,23000,2600,83900
1993,female,20-24,89800,83300,6600,28700
1993,female,25-29,95800,93400,2300,31800
1993,female,30-34,89600,88300,1300,54700
1993,female,35-39,78600,77200,1400,60800
1993,female,40-44,66600,65400,1200,56400
1993,female,45-49,43000,42400,600,44000
1993,female,50-54,26400,26000,400,44800
1993,female,55-59,14000,13700,200,44600
1993,female,60-64,5100,5000,100,42800
1993,female,65-69,2300,2300,-,33200
1993,female,70_and_over,1500,1500,-,57700
1994,male,15-19,25300,24100,1200,87000
1994,male,20-24,96500,91600,5000,27200
1994,male,25-29,124100,119300,4800,5100
1994,male,30-34,141200,138500,2700,2400
1994,male,35-39,144600,141800,2800,1800
1994,male,40-44,123400,121300,2100,1600
1994,male,45-49,93500,91800,1700,2800
1994,male,50-54,63700,62600,1100,6200
1994,male,55-59,42900,42200,700,14700
1994,male,60-64,23400,23000,400,24300
1994,male,65-69,11600,11500,-,22300
1994,male,70_and_over,8000,7900,100,40000
1994,female,15-19,20800,18500,2300,80500
1994,female,20-24,92000,85000,7000,29900
1994,female,25-29,100500,98100,2400,30300
1994,female,30-34,92400,90800,1600,55400
1994,female,35-39,83000,81900,1200,62100
1994,female,40-44,66900,65600,1300,56400
1994,female,45-49,47200,46500,700,46800
1994,female,50-54,27700,27400,300,44600
1994,female,55-59,16000,15800,200,45200
1994,female,60-64,6200,6100,200,42100
1994,female,65-69,3000,3000,-,34700
1994,female,70_and_over,1900,1800,-,61100
1996,male,15-19,24100,23000,1100,88300
1996,male,20-24,82200,77200,5000,28600
1996,male,25-29,110700,106300,4500,4100
1996,male,30-34,142500,139300,3200,2400
1996,male,35-39,151300,147800,3400,2700
1996,male,40-44,138000,134700,3200,2500
1996,male,45-49,115100,112600,2500,3800
1996,male,50-54,60400,58900,1500,5800
1996,male,55-59,49200,47800,1300,14400
1996,male,60-64,23000,22300,700,24100
1996,male,65-69,12800,12600,200,24800
1996,male,70_and_over,7300,7200,100,46900
1996,female,15-19,16400,14300,2100,87100
1996,female,20-24,82300,75400,6900,28100
1996,female,25-29,102300,99200,3100,26600
1996,female,30-34,102400,100900,1600,51200
1996,female,35-39,90800,88800,2000,61100
1996,female,40-44,78100,76500,1600,60200
1996,female,45-49,62300,61200,1100,52800
1996,female,50-54,28700,27800,900,36000
1996,female,55-59,18500,18200,400,45900
1996,female,60-64,7200,7000,300,41300
1996,female,65-69,3600,3600,-,37600
1996,female,70_and_over,2200,2200,-,69400
1997,male,15-19,18500,18000,600,92800
1997,male,20-24,82700,78800,3900,32900
1997,male,25-29,116200,112400,3800,6300
1997,male,30-34,141800,139000,2800,2100
1997,male,35-39,149800,147300,2500,2500
1997,male,40-44,141000,138000,3000,2900
1997,male,45-49,119800,117500,2300,3800
1997,male,50-54,72800,71000,1800,5800
1997,male,55-59,49200,48100,1100,15500
1997,male,60-64,24400,23700,600,24500
1997,male,65-69,13100,12800,200,24800
1997,male,70_and_over,6100,6000,100,46500
1997,female,15-19,14300,13200,1100,85600
1997,female,20-24,79300,74200,5100,31000
1997,female,25-29,106100,103500,2500,25400
1997,female,30-34,99700,97600,2100,50000
1997,female,35-39,88400,86800,1600,62800
1997,female,40-44,81900,80600,1300,60300
1997,female,45-49,66600,65400,1300,54300
1997,female,50-54,34200,33900,300,42100
1997,female,55-59,18600,18400,200,49700
1997,female,60-64,7700,7600,100,42500
1997,female,65-69,3800,3700,100,39000
1997,female,70_and_over,2200,2200,-,71900
1998,male,15-19,17700,17100,600,94600
1998,male,20-24,73500,68900,4600,32700
1998,male,25-29,110900,106100,4800,6600
1998,male,30-34,137300,133800,3400,2300
1998,male,35-39,152300,148300,4000,1900
1998,male,40-44,146200,142200,4000,2700
1998,male,45-49,123000,119100,3800,3600
1998,male,50-54,77900,75400,2500,7100
1998,male,55-59,50300,48700,1600,15300
1998,male,60-64,24200,23700,500,25100
1998,male,65-69,11600,11400,200,27800
1998,male,70_and_over,6900,6900,-,52900
1998,female,15-19,11400,9700,1700,91000
1998,female,20-24,68300,61100,7200,32800
1998,female,25-29,104400,100600,3800,26100
1998,female,30-34,103100,100500,2500,48000
1998,female,35-39,94600,92200,2400,59200
1998,female,40-44,89700,87800,1900,61000
1998,female,45-49,70100,68400,1700,55600
1998,female,50-54,40100,39300,800,46200
1998,female,55-59,20200,19800,400,46300
1998,female,60-64,7300,7200,200,45300
1998,female,65-69,3600,3600,-,40300
1998,female,70_and_over,1900,1900,-,78700
1999,male,15-19,19300,18600,700,92400
1999,male,20-24,71900,66800,5100,30400
1999,male,25-29,114700,109000,5800,7200
1999,male,30-34,141900,136700,5100,2800
1999,male,35-39,154900,149000,5800,2900
1999,male,40-44,146200,139600,6600,3600
1999,male,45-49,121800,115200,6600,3900
1999,male,50-54,85900,81600,4300,7300
1999,male,55-59,49700,47600,2200,15300
1999,male,60-64,28100,26900,1200,26100
1999,male,65-69,13300,12700,600,26700
1999,male,70_and_over,8800,8400,300,54000
1999,female,15-19,14900,12000,2900,85900
1999,female,20-24,71100,62800,8400,28900
1999,female,25-29,110000,105200,4700,26100
1999,female,30-34,103900,100000,3900,46000
1999,female,35-39,91100,87600,3500,61300
1999,female,40-44,90400,86700,3700,60100
1999,female,45-49,75200,72000,3200,50900
1999,female,50-54,43400,42300,1100,49500
1999,female,55-59,21600,20700,900,45100
1999,female,60-64,11500,10800,700,47700
1999,female,65-69,4100,4000,200,41200
1999,female,70_and_over,2100,2000,100,78700
2001,male,15-19,19600,18900,700,94300
2001,male,20-24,73300,69300,4000,32100
2001,male,25-29,110100,104800,5300,6100
2001,male,30-34,130200,126400,3800,2300
2001,male,35-39,155300,150500,4800,2300
2001,male,40-44,153700,148600,5100,2900
2001,male,45-49,131000,125600,5400,4800
2001,male,50-54,103600,99900,3700,10400
2001,male,55-59,43900,42100,1900,15200
2001,male,60-64,31600,30900,700,26900
2001,male,65-69,13600,13300,200,27100
2001,male,70_and_over,8200,8000,100,55800
2001,female,15-19,14800,11700,3100,89100
2001,female,20-24,66700,61100,5600,31100
2001,female,25-29,108800,104800,3900,22500
2001,female,30-34,104500,101800,2700,41800
2001,female,35-39,101000,97700,3300,60400
2001,female,40-44,96200,93600,2600,59100
2001,female,45-49,80200,77600,2600,51800
2001,female,50-54,56000,54700,1400,53400
2001,female,55-59,23300,22700,500,38500
2001,female,60-64,11700,11500,300,51400
2001,female,65-69,4400,4300,-,41800
2001,female,70_and_over,2500,2500,-,88700
2002,male,15-19,14000,13200,800,95100
2002,male,20-24,70900,65900,5000,34200
2002,male,25-29,106000,98500,7500,6600
2002,male,30-34,129300,124400,4900,2300
2002,male,35-39,157000,149700,7300,2800
2002,male,40-44,155200,147200,8000,3600
2002,male,45-49,135800,127300,8500,4500
2002,male,50-54,111100,104000,7000,9500
2002,male,55-59,58400,54500,3900,15200
2002,male,60-64,32500,31000,1500,28300
2002,male,65-69,14400,13900,500,30700
2002,male,70_and_over,8300,8000,300,60900
2002,female,15-19,11100,9000,2100,91100
2002,female,20-24,62300,52400,9900,36900
2002,female,25-29,104300,99400,5000,22300
2002,female,30-34,108500,103900,4700,41800
2002,female,35-39,99800,95500,4300,60600
2002,female,40-44,96200,92100,4100,58900
2002,female,45-49,84400,80100,4300,56800
2002,female,50-54,59300,56600,2700,55200
2002,female,55-59,29600,28600,1000,46800
2002,female,60-64,12700,12100,600,54200
2002,female,65-69,3800,3600,300,44200
2002,female,70_and_over,2800,2800,-,90900
2003,male,15-19,14700,14100,600,102500
