year,occ_desc,sex1,sex2,mthly_gross_wage_50_pctile,mthly_basic_wage_50_pctile
2022,managing director/chief executive officer,all,females,8017,8000
2022,managing director/chief executive officer,all,males,9600,9500
2022,chief operating officer/general manager,all,females,9352,8500
2022,chief operating officer/general manager,all,males,12363,11340
2022,budgeting and financial accounting manager (including financial controller),all,females,7800,7062
2022,budgeting and financial accounting manager (including financial controller),all,males,10000,8611
2022,administration manager,all,females,6550,6159
2022,administration manager,all,males,8105,7630
2022,audit manager,all,females,8400,8212
2022,audit manager,all,males,8500,8205
2022,human resource manager,all,females,7752,6828
2022,human resource manager,all,males,8000,7350
2022,policy manager,all,females,9700,8500
2022,policy manager,all,males,9977,7956
2022,strategic planning manager,all,females,12525,12012
2022,strategic planning manager,all,males,13157,11500
2022,risk management manager,all,females,12555,12385
2022,risk management manager,all,males,13647,12500
2022,premises and facilities maintenance manager (excluding building security manager),all,females,6400,5850
2022,premises and facilities maintenance manager (excluding building security manager),all,males,6613,5502
2022,landscape manager,all,males,4342,4320
2022,cleaning operations manager,all,males,4485,4050
2022,security manager,all,males,4800,4680
2022,sales manager,all,females,7948,6700
2022,sales manager,all,males,8667,7379
2022,business development manager,all,females,8400,7500
2022,business development manager,all,males,9500,8440
2022,regional sales manager,all,females,9688,9055
2022,regional sales manager,all,males,11680,10500
2022,merchandising/category manager,all,females,8102,7771
2022,merchandising/category manager,all,males,8530,8000
2022,online sales channel manager,all,females,8077,6600
2022,online sales channel manager,all,males,8830,8171
2022,advertising/public relations manager,all,females,7800,7000
2022,advertising/public relations manager,all,males,6360,5940
2022,marketing manager,all,females,8167,7800
2022,marketing manager,all,males,9111,8625
2022,research and development manager,all,females,9513,9059
2022,research and development manager,all,males,11480,11000
2022,customer service manager,all,females,7436,7070
2022,customer service manager,all,males,9550,8710
2022,manufacturing manager,all,females,7000,6500
2022,manufacturing manager,all,males,8000,7600
2022,construction manager,all,females,6000,5550
2022,construction manager,all,males,6500,6100
2022,supply and distribution/logistics/warehousing manager,all,females,7661,7160
2022,supply and distribution/logistics/warehousing manager,all,males,6336,5913
2022,procurement/purchasing manager,all,females,7500,6500
2022,procurement/purchasing manager,all,males,8911,8179
2022,transport/technical operations manager (except port/shipping operations),all,females,6480,4500
2022,transport/technical operations manager (except port/shipping operations),all,males,6411,4500
2022,port/shipping operations manager,all,females,6572,5905
2022,port/shipping operations manager,all,males,8382,7796
2022,technical/engineering services manager (excluding transport),all,females,8823,8445
2022,technical/engineering services manager (excluding transport),all,males,9104,8400
2022,quality control/assurance manager,all,females,8728,8097
2022,quality control/assurance manager,all,males,8773,8413
2022,chief information officer/chief technology officer/chief security officer,all,females,12255,11890
2022,chief information officer/chief technology officer/chief security officer,all,males,14000,13845
2022,software and applications manager,all,females,9100,8500
2022,software and applications manager,all,males,9746,9381
2022,"network, communications and infrastructure manager",all,females,8786,8418
2022,"network, communications and infrastructure manager",all,males,9960,9460
2022,ict service manager,all,females,8618,8182
2022,ict service manager,all,males,9193,8884
2022,pre-school education manager,all,females,4725,4509
2022,health services manager,all,females,8839,8146
2022,health services manager,all,males,8700,7919
2022,community and social service manager,all,females,5315,5000
2022,education and training institution manager,all,females,5300,5300
2022,education and training institution manager,all,males,5945,5871
2022,school principal,all,females,5654,5300
2022,financial services manager,all,females,9760,9660
2022,financial services manager,all,males,12860,12665
2022,insurance services manager,all,females,9495,9451
2022,insurance services manager,all,males,11056,10702
2022,financial risk manager,all,females,10115,10000
2022,financial risk manager,all,males,11840,11830
2022,media and broadcasting manager,all,males,10744,9442
2022,hotel operations/lodging services manager,all,females,4700,4550
2022,hotel operations/lodging services manager,all,males,4924,4550
2022,restaurant manager,all,females,3051,2650
2022,restaurant manager,all,males,3800,3132
2022,food and beverage operations manager,all,females,3786,3367
2022,food and beverage operations manager,all,males,3950,3340
2022,retail manager,all,females,4650,3500
2022,retail manager,all,males,4715,3500
2022,wholesale trade manager,all,females,9300,9194
2022,wholesale trade manager,all,males,11822,10675
2022,wellness centre manager (e.g. hair/beauty/slimming/spa/manicure/massage),all,females,3333,3100
2022,event manager,all,females,5891,5582
2022,chemist,all,females,5125,5000
2022,chemist,all,males,5832,5260
2022,"geologist, geophysicist and other physical science professional",all,females,6897,6251
2022,operations research analyst,all,females,6280,5688
2022,operations research analyst,all,males,6571,6000
2022,data scientist,all,females,9226,9226
2022,data scientist,all,males,10960,10890
2022,statistical officer/data analyst,all,females,5220,4927
2022,statistical officer/data analyst,all,males,6837,6837
2022,pharmacologist and related professional,all,females,5439,5272
2022,pharmacologist and related professional,all,males,5730,5626
2022,medical laboratory scientist,all,females,5805,5805
2022,clinical research professional,all,females,5112,5032
2022,industrial and production engineer,all,females,4500,4113
2022,industrial and production engineer,all,males,5637,5009
2022,civil engineer,all,females,5300,5000
2022,civil engineer,all,males,6000,5446
2022,mechanical engineer (excluding transport and vehicle engineer),all,females,4569,4339
2022,mechanical engineer (excluding transport and vehicle engineer),all,males,5369,4827
2022,chemical engineer,all,females,6236,5294
2022,chemical engineer,all,males,5128,4351
2022,transport and vehicle engineer,all,females,5130,4667
2022,transport and vehicle engineer,all,males,5276,4500
2022,biomedical engineer,all,males,4910,4874
2022,industrial safety engineer,all,females,6739,6191
2022,industrial safety engineer,all,males,6525,5568
2022,quantity surveyor,all,females,4910,4200
2022,quantity surveyor,all,males,5000,3828
2022,procurement engineer,all,females,6205,5850
